,team,Rank,Major,Tournament,Invited,place,norm_elo
0,Vici Gaming,1042,0,0,True,5-6,0.51
1,Evil Geniuses,1123,0,1,True,3,1.62
2,Team Secret,1076,0,0,True,2,0.97
3,LGD Gaming,1050,0,0,False,7-8,0.62
4,Cloud 9,933,0,0,False,13-16,-0.98
5,Virtus Pro,1067,0,0,True,7-8,0.85
6,Newbee,937,0,0,False,13-16,-0.92
7,Fnatic,915,0,0,False,13-16,-1.22
8,CDEC Gaming,1031,0,1,True,5-6,0.36
9,EHOME,1099,0,1,True,4,1.29
10,Mineski,956,0,0,False,9-12,-0.66
11,Alliance,1015,0,1,True,9-12,0.14
12,Team Unknown,921,0,0,False,9-12,-1.14
13,Newbee Young,897,0,0,False,13-16,-1.47
14,OG,1253,1,1,True,1,3.39
15,Vega Squadron,950,0,0,False,9-12,-0.75
16,4 Clover & Lepricon,998,0,0,False,17,-0.09
17,Team Empire,1085,0,1,False,17,1.1
18,MVP Phoenix,938,0,0,False,17,-0.91
19,Team Liquid,1072,0,1,False,17,0.92
20,Digital Chaos,957,0,0,False,17,-0.65
21,Team Alternate,987,0,0,False,17,-0.24
22,TNC Gaming,1003,0,0,False,17,-0.02
23,Wings Gaming,998,0,0,False,17,-0.09
24,Team Leviathan,979,0,0,False,17,-0.35
25,Team Youporn,957,0,0,False,17,-0.65
26,Execration,959,0,0,False,17,-0.62
27,Execration,959,0,0,False,17,-0.62
28,Team_FanTuan,978,0,0,False,17,-0.36
29,CDEC Youth,1029,0,0,False,17,0.33
30,IG VItality,999,0,0,False,17,-0.08
31,FTD Club B,987,0,0,False,17,-0.24
